Iniciando simulación con 6 sensores y 50 eventos por sensor.

{'sensor': 0, 'vehiculos': 29, 'velocidad': 98}
{'sensor': 1, 'vehiculos': 34, 'velocidad': 33}
{'sensor': 2, 'vehiculos': 19, 'velocidad': 50}
{'sensor': 3, 'vehiculos': 19, 'velocidad': 68}
{'sensor': 4, 'vehiculos': 24, 'velocidad': 86}
{'sensor': 5, 'vehiculos': 13, 'velocidad': 82}
{'sensor': 2, 'vehiculos': 21, 'velocidad': 35}
{'sensor': 3, 'vehiculos': 8, 'velocidad': 69}
{'sensor': 1, 'vehiculos': 37, 'velocidad': 26}
{'sensor': 4, 'vehiculos': 25, 'velocidad': 78}
{'sensor': 5, 'vehiculos': 20, 'velocidad': 90}
{'sensor': 3, 'vehiculos': 7, 'velocidad': 21}
{'sensor': 0, 'vehiculos': 33, 'velocidad': 92}
{'sensor': 2, 'vehiculos': 5, 'velocidad': 100}
{'sensor': 3, 'vehiculos': 21, 'velocidad': 64}
{'sensor': 1, 'vehiculos': 40, 'velocidad': 81}
{'sensor': 0, 'vehiculos': 9, 'velocidad': 99}
{'sensor': 3, 'vehiculos': 42, 'velocidad': 95}
{'sensor': 5, 'vehiculos': 25, 'velocidad': 54}
{'sensor': 4, 'vehiculos': 22, 'velocidad': 66}
{'sensor': 2, 'vehiculos': 20, 'velocidad': 40}
{'sensor': 0, 'vehiculos': 20, 'velocidad': 98}
{'sensor': 4, 'vehiculos': 9, 'velocidad': 33}
{'sensor': 2, 'vehiculos': 10, 'velocidad': 97}
{'sensor': 1, 'vehiculos': 16, 'velocidad': 58}
{'sensor': 3, 'vehiculos': 30, 'velocidad': 82}
{'sensor': 5, 'vehiculos': 26, 'velocidad': 64}
{'sensor': 0, 'vehiculos': 40, 'velocidad': 50}
{'sensor': 4, 'vehiculos': 12, 'velocidad': 46}
{'sensor': 1, 'vehiculos': 48, 'velocidad': 38}
{'sensor': 1, 'vehiculos': 33, 'velocidad': 68}
{'sensor': 3, 'vehiculos': 9, 'velocidad': 83}
{'sensor': 5, 'vehiculos': 16, 'velocidad': 34}
{'sensor': 2, 'vehiculos': 23, 'velocidad': 71}
{'sensor': 3, 'vehiculos': 33, 'velocidad': 53}
{'sensor': 4, 'vehiculos': 42, 'velocidad': 25}
{'sensor': 1, 'vehiculos': 48, 'velocidad': 61}
{'sensor': 0, 'vehiculos': 46, 'velocidad': 89}
{'sensor': 2, 'vehiculos': 32, 'velocidad': 52}
{'sensor': 5, 'vehiculos': 49, 'velocidad': 70}
{'sensor': 4, 'vehiculos': 43, 'velocidad': 33}
{'sensor': 0, 'vehiculos': 40, 'velocidad': 52}
{'sensor': 3, 'vehiculos': 36, 'velocidad': 92}
{'sensor': 5, 'vehiculos': 15, 'velocidad': 35}
{'sensor': 1, 'vehiculos': 38, 'velocidad': 88}
{'sensor': 2, 'vehiculos': 47, 'velocidad': 86}
{'sensor': 4, 'vehiculos': 7, 'velocidad': 83}
{'sensor': 5, 'vehiculos': 37, 'velocidad': 38}
{'sensor': 2, 'vehiculos': 25, 'velocidad': 30}
{'sensor': 0, 'vehiculos': 47, 'velocidad': 32}
{'sensor': 3, 'vehiculos': 44, 'velocidad': 91}
{'sensor': 4, 'vehiculos': 32, 'velocidad': 37}
{'sensor': 1, 'vehiculos': 16, 'velocidad': 20}
{'sensor': 1, 'vehiculos': 28, 'velocidad': 53}
{'sensor': 0, 'vehiculos': 50, 'velocidad': 33}
{'sensor': 2, 'vehiculos': 48, 'velocidad': 53}
{'sensor': 5, 'vehiculos': 40, 'velocidad': 82}
{'sensor': 3, 'vehiculos': 16, 'velocidad': 79}
{'sensor': 2, 'vehiculos': 36, 'velocidad': 28}
{'sensor': 5, 'vehiculos': 47, 'velocidad': 55}
{'sensor': 4, 'vehiculos': 36, 'velocidad': 81}
{'sensor': 1, 'vehiculos': 12, 'velocidad': 62}
{'sensor': 5, 'vehiculos': 30, 'velocidad': 76}
{'sensor': 3, 'vehiculos': 42, 'velocidad': 56}
{'sensor': 0, 'vehiculos': 36, 'velocidad': 54}
{'sensor': 2, 'vehiculos': 39, 'velocidad': 47}
{'sensor': 5, 'vehiculos': 22, 'velocidad': 48}
{'sensor': 1, 'vehiculos': 46, 'velocidad': 26}
{'sensor': 4, 'vehiculos': 50, 'velocidad': 80}
{'sensor': 0, 'vehiculos': 38, 'velocidad': 92}
{'sensor': 3, 'vehiculos': 8, 'velocidad': 86}
{'sensor': 2, 'vehiculos': 11, 'velocidad': 70}
{'sensor': 0, 'vehiculos': 31, 'velocidad': 53}
{'sensor': 1, 'vehiculos': 42, 'velocidad': 64}
{'sensor': 2, 'vehiculos': 32, 'velocidad': 49}
{'sensor': 4, 'vehiculos': 40, 'velocidad': 55}
{'sensor': 5, 'vehiculos': 30, 'velocidad': 90}
{'sensor': 3, 'vehiculos': 38, 'velocidad': 20}
{'sensor': 5, 'vehiculos': 32, 'velocidad': 53}
{'sensor': 4, 'vehiculos': 32, 'velocidad': 83}
{'sensor': 0, 'vehiculos': 42, 'velocidad': 39}
{'sensor': 2, 'vehiculos': 18, 'velocidad': 38}
{'sensor': 1, 'vehiculos': 13, 'velocidad': 34}
{'sensor': 5, 'vehiculos': 49, 'velocidad': 31}
{'sensor': 2, 'vehiculos': 6, 'velocidad': 51}
{'sensor': 4, 'vehiculos': 42, 'velocidad': 85}
{'sensor': 3, 'vehiculos': 43, 'velocidad': 62}
{'sensor': 1, 'vehiculos': 18, 'velocidad': 20}
{'sensor': 5, 'vehiculos': 23, 'velocidad': 69}
{'sensor': 0, 'vehiculos': 25, 'velocidad': 40}
{'sensor': 3, 'vehiculos': 6, 'velocidad': 76}
{'sensor': 4, 'vehiculos': 21, 'velocidad': 57}
{'sensor': 2, 'vehiculos': 49, 'velocidad': 59}
{'sensor': 1, 'vehiculos': 23, 'velocidad': 73}
{'sensor': 2, 'vehiculos': 36, 'velocidad': 31}
{'sensor': 0, 'vehiculos': 19, 'velocidad': 91}
{'sensor': 5, 'vehiculos': 39, 'velocidad': 44}
{'sensor': 3, 'vehiculos': 28, 'velocidad': 97}
{'sensor': 1, 'vehiculos': 32, 'velocidad': 80}
{'sensor': 4, 'vehiculos': 17, 'velocidad': 42}
{'sensor': 0, 'vehiculos': 17, 'velocidad': 50}
{'sensor': 3, 'vehiculos': 41, 'velocidad': 65}
{'sensor': 5, 'vehiculos': 9, 'velocidad': 43}
{'sensor': 2, 'vehiculos': 18, 'velocidad': 45}
{'sensor': 3, 'vehiculos': 10, 'velocidad': 25}
{'sensor': 1, 'vehiculos': 38, 'velocidad': 46}
{'sensor': 0, 'vehiculos': 36, 'velocidad': 75}
{'sensor': 4, 'vehiculos': 7, 'velocidad': 60}
{'sensor': 2, 'vehiculos': 28, 'velocidad': 26}
{'sensor': 1, 'vehiculos': 47, 'velocidad': 39}
{'sensor': 3, 'vehiculos': 16, 'velocidad': 35}
{'sensor': 5, 'vehiculos': 40, 'velocidad': 98}
{'sensor': 4, 'vehiculos': 40, 'velocidad': 22}
{'sensor': 0, 'vehiculos': 5, 'velocidad': 96}
{'sensor': 2, 'vehiculos': 48, 'velocidad': 76}
{'sensor': 3, 'vehiculos': 12, 'velocidad': 71}
{'sensor': 0, 'vehiculos': 39, 'velocidad': 47}
{'sensor': 4, 'vehiculos': 24, 'velocidad': 89}
{'sensor': 5, 'vehiculos': 20, 'velocidad': 62}
{'sensor': 1, 'vehiculos': 33, 'velocidad': 27}
{'sensor': 0, 'vehiculos': 35, 'velocidad': 90}
{'sensor': 3, 'vehiculos': 10, 'velocidad': 35}
{'sensor': 0, 'vehiculos': 27, 'velocidad': 39}
{'sensor': 3, 'vehiculos': 27, 'velocidad': 47}
{'sensor': 5, 'vehiculos': 25, 'velocidad': 88}
{'sensor': 2, 'vehiculos': 19, 'velocidad': 68}
{'sensor': 4, 'vehiculos': 7, 'velocidad': 30}
{'sensor': 1, 'vehiculos': 47, 'velocidad': 61}
{'sensor': 3, 'vehiculos': 46, 'velocidad': 20}
{'sensor': 2, 'vehiculos': 21, 'velocidad': 74}
{'sensor': 0, 'vehiculos': 19, 'velocidad': 66}
{'sensor': 5, 'vehiculos': 14, 'velocidad': 35}
{'sensor': 1, 'vehiculos': 16, 'velocidad': 74}
{'sensor': 3, 'vehiculos': 37, 'velocidad': 66}
