Iniciando versión SECUENCIAL con         8 sensores y 50 eventos por sensor.

Sensor 0 generó: {'sensor': 0, 'vehiculos': 36, 'velocidad': 43}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 31, 'velocidad': 83}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 30, 'velocidad': 74}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 46, 'velocidad': 94}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 14, 'velocidad': 28}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 28, 'velocidad': 32}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 36, 'velocidad': 55}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 38, 'velocidad': 43}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 9, 'velocidad': 93}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 16, 'velocidad': 20}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 21, 'velocidad': 96}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 40, 'velocidad': 25}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 15, 'velocidad': 29}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 46, 'velocidad': 60}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 24, 'velocidad': 83}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 19, 'velocidad': 94}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 22, 'velocidad': 92}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 45, 'velocidad': 58}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 22, 'velocidad': 31}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 17, 'velocidad': 55}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 33, 'velocidad': 91}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 41, 'velocidad': 46}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 48, 'velocidad': 31}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 35, 'velocidad': 27}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 30, 'velocidad': 78}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 47, 'velocidad': 79}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 29, 'velocidad': 93}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 9, 'velocidad': 64}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 26, 'velocidad': 52}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 38, 'velocidad': 78}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 44, 'velocidad': 50}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 36, 'velocidad': 64}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 21, 'velocidad': 70}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 17, 'velocidad': 76}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 21, 'velocidad': 72}
Sensor 0 generó: {'sensor': 0, 'vehiculos': 30, 'velocidad': 78}
